Position	     IP	Demo_Day0_Present	Demo_Day0_IP	Demo_Day0_Control	Demo_Day0_   Fold	Demo_Day0_Q_-lg10	Demo_Day0_P_-lg10	IPvsEMP	Demo_Day0_IPvsCTR		Demo_Day1_Present	Demo_Day1_IP	Demo_Day1_Control	Demo_Day1_   Fold	Demo_Day1_Q_-lg10	Demo_Day1_P_-lg10	IPvsEMP	Demo_Day1_IPvsCTR		Demo_Day2_Present	Demo_Day2_IP	Demo_Day2_Control	Demo_Day2_   Fold	Demo_Day2_Q_-lg10	Demo_Day2_P_-lg10	IPvsEMP	Demo_Day2_IPvsCTR		Demo_Day3_Present	Demo_Day3_IP	Demo_Day3_Control	Demo_Day3_   Fold	Demo_Day3_Q_-lg10	Demo_Day3_P_-lg10	IPvsEMP	Demo_Day3_IPvsCTR		Demo_Day4_Present	Demo_Day4_IP	Demo_Day4_Control	Demo_Day4_   Fold	Demo_Day4_Q_-lg10	Demo_Day4_P_-lg10	IPvsEMP	Demo_Day4_IPvsCTR	
1:3390040	   19.0	0	    1.0	    1.4	    0.7	  -0.07	 999.00	  -4.00	   0.00		1	   10.0	    1.6	    6.3	   2.78	 999.00	  -1.07	   0.00		0	    2.0	    2.1	    1.0	  -0.06	 999.00	  -3.59	   0.00		0	    5.0	    2.7	    1.8	   0.17	 999.00	  -0.84	   0.00		0	    1.0	    2.1	    0.5	  -0.06	 999.00	  -4.00	   0.00	
1:3667860	   16.2	0	    2.0	    1.4	    1.4	  -0.02	 999.00	  -0.71	   0.00		0	    2.0	    1.6	    1.3	  -0.02	 999.00	  -2.45	   0.00		0	    2.0	    1.3	    1.6	  -0.01	 999.00	  -3.21	   0.00		1	    9.2	    1.9	    4.8	   2.21	 999.00	  -0.91	   0.00		0	    1.0	    2.2	    0.4	  -0.05	 999.00	  -4.00	   0.00	
1:3722075	   33.0	0	    7.0	    1.4	    4.8	   1.37	 999.00	  -0.94	   0.00		1	    9.0	    1.5	    6.2	   2.40	 999.00	  -0.83	   0.00		0	    7.0	    1.3	    5.5	   1.39	 999.00	  -0.93	   0.00		0	    5.0	    2.1	    2.4	   0.33	 999.00	  -0.82	   0.00		0	    5.0	    1.8	    2.8	   0.44	 999.00	  -1.60	   0.00	
1:3985092	   26.0	0	    2.0	    1.4	    1.4	  -0.02	 999.00	  -2.98	   0.00		0	    5.0	    1.6	    3.1	   0.52	 999.00	  -0.70	   0.00		1	    9.0	    1.5	    6.1	   2.17	 999.00	  -1.42	   0.00		0	    5.0	    1.6	    3.1	   0.53	 999.00	  -0.81	   0.00		0	    5.0	    1.4	    3.5	   0.61	 999.00	  -0.84	   0.00	
1:4005442	   24.0	0	    6.0	    1.4	    4.2	   0.96	 999.00	  -0.72	   0.00		0	    4.0	    2.1	    1.9	   0.13	 999.00	  -0.92	   0.00		0	    2.0	    1.6	    1.3	  -0.03	 999.00	  -0.72	   0.00		0	    2.0	    2.1	    0.9	  -0.04	 999.00	  -0.83	   0.00		1	   10.0	    1.4	    7.0	   3.03	 999.00	  -0.77	   0.00	
1:4083105	   39.6	0	   10.0	    2.7	    3.6	   1.46	 999.00	  -1.16	   0.00		1	   12.8	    2.2	    5.8	   3.64	 999.00	  -0.97	   0.00		0	    4.0	    3.0	    1.3	  -0.02	 999.00	  -1.52	   0.00		0	    5.9	    3.5	    1.7	   0.17	 999.00	  -1.34	   0.00		0	    6.9	    2.1	    3.3	   0.85	 999.00	  -0.79	   0.00	
1:4367903	   19.0	1	    9.0	    1.4	    6.2	   2.49	 999.00	  -1.17	   0.00		0	    4.0	    1.5	    2.8	   0.32	 999.00	  -0.79	   0.00		0	    1.0	    1.3	    0.8	  -0.07	 999.00	  -4.00	   0.00		0	    4.0	    1.5	    2.6	   0.30	 999.00	  -1.07	   0.00		0	    1.0	    1.4	    0.7	  -0.07	 999.00	  -4.00	   0.00	
1:4373820	   30.0	0	    7.0	    1.4	    4.8	   1.37	 999.00	  -0.80	   0.00		0	    5.0	    1.5	    3.4	   0.58	 999.00	  -0.96	   0.00		0	    4.0	    1.3	    3.1	   0.34	 999.00	  -0.86	   0.00		0	    5.0	    1.5	    3.3	   0.56	 999.00	  -1.06	   0.00		1	    9.0	    1.4	    6.3	   2.40	 999.00	  -1.18	   0.00	
1:4443835	   31.0	0	    6.0	    2.1	    2.9	   0.57	 999.00	  -0.86	   0.00		0	    1.0	    1.8	    0.6	  -0.05	 999.00	  -4.00	   0.00		0	    8.0	    1.4	    5.7	   1.73	 999.00	  -0.75	   0.00		1	   10.0	    1.9	    5.2	   2.21	 999.00	  -0.90	   0.00		0	    6.0	    1.4	    4.2	   0.95	 999.00	  -1.23	   0.00	
1:4527690	   22.0	0	    3.9	    5.4	    0.7	  -0.06	 999.00	  -0.71	   0.00		0	    2.0	    2.7	    0.8	  -0.06	 999.00	  -2.07	   0.00		0	    3.7	    2.1	    1.8	   0.12	 999.00	  -0.99	   0.00		1	   10.6	    2.2	    4.7	   2.31	 999.00	  -1.17	   0.00		0	    1.8	    3.7	    0.5	  -0.06	 999.00	  -1.32	   0.00	
